觏	覯
鸹	鴰
尴	尷
搁	擱
鸽	鴿
呙	咼
该	該
赅	賅
关	關
观	觀
鳏	鰥
锅	鍋
埚	堝
蝈	蟈
啯	嘓
刚	剛
钢	鋼
冈	岡
纲	綱
岗	崗
宫	宮
龚	龔
归	歸
规	規
闺	閨
妫	嬀
鬶	鬹
毂	轂
鸪	鴣
轱	軲
赓	賡
鹒	鶊
沟	溝
钩	鉤
缑	緱
过	過
缓	緩
谎	謊
钬	鈥
唝	嗊
毁	毀 燬 譭
划	划 劃
骅	驊
哗	譁 嘩
铧	鏵
韩	韓
阖	闔
核	核 覈
颌	頜
阂	閡
纥	紇
鹖	鶡
龁	齕
蚝	蠔
怀	懷
环	環
锾	鍰
缳	繯
镮	鐶
阛	闤
黄	黃
鳇	鰉
锽	鍠
颃	頏
红	紅
鸿	鴻
闳	閎
黉	黌
纮	紘
荭	葒
回	回 迴
胡	胡 鬍 衚
壶	壺
鹄	鵠
鹕	鶘
鹘	鶻
糊	餬 糊
恒	恆
鸻	鴴
馄	餛
糇	餱
话	話
画	畫
桦	樺
婳	嫿
汉	漢
颔	頷
闬	閈
贺	賀
鹤	鶴
号	號
镐	鎬
灏	灝
颢	顥
坏	壞
骇	駭
换	換
焕	煥
唤	喚
涣	渙
奂	奐
痪	瘓
鲩	鯇
获	獲 穫
货	貨
祸	禍
镬	鑊
讧	訌
哄	鬨 哄
汇	匯 滙 彙
绘	繪
贿	賄
讳	諱
烩	燴
秽	穢
荟	薈
诲	誨
桧	檜
翙	翽
缋	繢
阓	闠
户	戶
沪	滬
护	護
鳠	鱯
鹱	鸌
横	橫
诨	諢
浑	渾
后	後 后
鲎	鱟
铪	鉿
华	華
顸	頇
诃	訶
欢	歡
锪	鍃
轰	轟
辉	輝
挥	揮
晖	暉
珲	琿
诙	詼
翚	翬
袆	褘
轷	軤
阍	閽
贾	賈
钾	鉀
槚	檟
仅	僅
紧	緊
锦	錦
谨	謹
尽	儘 盡
馑	饉
卺	巹
颈	頸
刭	剄
挤	擠
虮	蟣
给	給
鱾	魢
减	減
简	簡
检	檢
捡	撿
碱	鹼
俭	儉
拣	揀
茧	繭
戬	戩
睑	瞼
笕	筧
谫	譾
锏	鐧 鐗
卷	卷 捲
锩	錈
讲	講
奖	獎
蒋	蔣
桨	槳
搅	攪
绞	絞
饺	餃
铰	鉸
挢	撟
颎	熲
举	舉
榉	櫸
龃	齟
颊	頰
荚	莢
郏	郟
铗	鋏
蛱	蛺
级	級
极	極 极
辑	輯
鹡	鶺
矫	矯
节	節
杰	傑 杰
洁	潔
诘	詰
讦	訐
鲒	鮚
决	決
绝	絕
诀	訣
谲	譎
镢	钁 鐝
脚	腳
局	局 侷
锔	鋦
价	價 价
驾	駕
进	進
晋	晉
缙	縉
烬	燼
觐	覲
荩	藎
赆	贐
浕	濜
静	靜
净	淨
镜	鏡
竞	競
径	徑
胫	脛
劲	勁
迳	逕
痉	痙
弪	弳
记	記
计	計
继	繼
纪	紀
际	際
济	濟
剂	劑
迹	跡 迹 蹟
绩	績
骥	驥
霁	霽
鲫	鯽
蓟	薊
觊	覬
鲚	鱭
哜	嚌
剑	劍
键	鍵
舰	艦
贱	賤
践	踐
鉴	鑑 鑒
溅	濺
荐	薦 荐
谏	諫
涧	澗
饯	餞
绢	絹
酱	醬
犟	強
绛	絳
较	較
觉	覺
轿	轎
届	屆
诫	誡
旧	舊
鹫	鷲
厩	廄
据	據 据
剧	劇
锯	鋸
惧	懼
讵	詎
飓	颶
屦	屨
钜	鉅
窭	窶
骏	駿
隽	雋
馂	餕
夹	夾
镓	鎵
浃	浹
琎	璡
经	經
惊	驚
荆	荊
茎	莖
鲸	鯨
泾	涇
机	機
鸡	雞
积	積
击	擊
饥	飢 饑
几	幾 几
矶	磯
叽	嘰
讥	譏
羁	羈
玑	璣
跻	躋
齑	齏
赍	齎
间	間
监	監
坚	堅
奸	奸 姦
艰	艱
歼	殲
笺	箋
缄	緘
鲣	鰹
鞯	韉
鹣	鶼
缣	縑
戋	戔
渐	漸
鳒	鰜
篯	籛
镌	鐫
鹃	鵑
姜	姜 薑
浆	漿
缰	韁 繮
鳉	鱂
螀	螿
胶	膠
浇	澆
娇	嬌
骄	驕
鲛	鮫
鹪	鷦
结	結
疖	癤
阶	階
纠	糾
鸠	鳩
阄	鬮
驹	駒
掬	掬
拘	拘
车	車
军	軍
钧	鈞
皲	皸
鲪	鮶
槛	檻
凯	凱
恺	愷
铠	鎧
锴	鍇
垲	塏
剀	剴
闿	闓
垦	墾
恳	懇
阃	閫
壸	壼
诳	誑
骙	騤
阚	闞
课	課
锞	錁
缂	緙
骒	騍
铐	銬
块	塊
脍	膾
侩	儈
哙	噲
会	會
郐	鄶
狯	獪
鲙	鱠
浍	澮
矿	礦
况	況
邝	鄺
旷	曠
圹	壙
贶	貺
纩	纊
扩	擴
阔	闊
适	适 適
钪	鈧
闶	閌
溃	潰
馈	饋
匮	匱
篑	簣
愦	憒
聩	聵
蒉	蕢
库	庫
裤	褲
喾	嚳
绔	絝
夸	誇 夸
龛	龕
颗	顆
轲	軻
颏	頦
疴	痾
开	開
锎	鐦
宽	寬
髋	髖
诓	誆
亏	虧
窥	窺
岿	巋
铿	鏗
硁	硜
鲲	鯤
锟	錕
裈	褌
鹍	鵾
抠	摳
眍	瞘
檩	檁
凛	凜
廪	廩
懔	懍
懒	懶
览	覽
缆	纜
榄	欖
揽	攬
铑	銠
领	領
岭	嶺
里	里 裡 裏
礼	禮
鲤	鯉
锂	鋰
鳢	鱧
逦	邐
脸	臉
敛	斂
琏	璉
蔹	蘞
裣	襝
两	兩
俩	倆
魉	魎
绺	綹
锍	鋶
陇	隴
拢	攏
垄	壟
鲁	魯
卤	滷 鹵
虏	虜
掳	擄
橹	櫓
镥	鑥
氇	氌
吕	呂
屡	屢
铝	鋁
侣	侶
缕	縷
褛	褸
穞	穭
垒	壘
诔	誄
篓	簍
嵝	嶁
临	臨
邻	鄰
鳞	鱗
辚	轔
兰	蘭
蓝	藍
拦	攔
栏	欄
篮	籃
岚	嵐
澜	瀾
阑	闌
斓	斕
谰	讕
褴	襤
镧	鑭
䍀	繿
襕	襴
劳	勞
崂	嶗
痨	癆
铹	鐒
灵	靈
龄	齡
铃	鈴
绫	綾
棂	櫺 欞
鲮	鯪
鸰	鴒
来	來
莱	萊
涞	淶
崃	崍
铼	錸
梾	棶
俫	倈
离	離
骊	驪
篱	籬
漓	漓 灕
鹂	鸝
缡	縭
蓠	蘺
鲡	鱺
连	連
联	聯
莲	蓮
帘	簾 帘
涟	漣
怜	憐
镰	鐮
鲢	鰱
奁	奩
裢	褳
梿	槤
栾	欒
銮	鑾
鸾	鸞
峦	巒
滦	灤
孪	孿
娈	孌
挛	攣
脔	臠
梁	梁 樑
粮	糧
凉	凉 涼
辌	輬
辽	遼
疗	療
缭	繚
鹩	鷯
罗	羅
锣	鑼
萝	蘿
箩	籮
骡	騾
逻	邏
椤	欏
猡	玀
脶	腡
镙	鏍
刘	劉
浏	瀏
骝	騮
镠	鏐
飗	飀
鹠	鶹
锒	鋃
龙	龍
笼	籠
聋	聾
砻	礱
珑	瓏
胧	朧
茏	蘢
咙	嚨
栊	櫳
眬	矓
昽	曨
卢	盧
炉	爐
芦	蘆
庐	廬
泸	瀘
颅	顱
鲈	鱸
胪	臚
垆	壚
栌	櫨
鸬	鸕
轳	轤
舻	艫
驴	驢
闾	閭
榈	櫚
镭	鐳
缧	縲
累	纍 累
棱	稜 棱
轮	輪
伦	倫
仑	侖 崙
纶	綸
沦	淪
囵	圇
楼	樓
娄	婁
偻	僂
蒌	蔞
耧	耬
蝼	螻
髅	髏
溇	漊
腊	臘 腊
蜡	蠟 蜡
镴	鑞
蔺	藺
赁	賃
躏	躪
烂	爛
滥	濫
鳓	鰳
涝	澇
唠	嘮
耢	耮
赖	賴
濑	瀨
赉	賚
癞	癩
籁	籟
睐	睞
徕	徠
丽	麗
历	歷 曆
励	勵
隶	隸
厉	厲
沥	瀝
郦	酈
砺	礪
砾	礫
莅	蒞
蛎	蠣
枥	櫪
疠	癘
坜	壢
粝	糲
雳	靂
俪	儷
呖	嚦
疬	癧
轹	轢
苈	藶
练	練
链	鏈 鍊
炼	煉
恋	戀
殓	殮
潋	瀲
乱	亂
辆	輛
谅	諒
靓	靚
镣	鐐
钌	釕
络	絡
骆	駱
荦	犖
跞	躒
猎	獵
馏	餾
镏	鎦
鹨	鷚
阆	閬
锊	鋝
陆	陸
录	錄 彔
禄	祿
鹭	鷺
赂	賂
辂	輅
渌	淥
辘	轆
箓	籙
绿	綠
滤	濾
虑	慮
类	類
泪	淚
颣	纇
论	論
镂	鏤
瘘	瘻
捞	撈
噜	嚕
撸	擼
抡	掄
搂	摟
啰	囉
喽	嘍
马	馬
码	碼
玛	瑪
犸	獁
闽	閩
闵	閔
悯	憫
鳘	鰵
满	滿
螨	蟎
铆	鉚
买	買
荬	蕒
沵	濔
眯	眯 瞇
缅	緬
腼	靦
